傲岸不群	aabq
皑皑白雪	aabx
暗暗称奇	aacq
嗷嗷待哺	aadb
安安分分	aaff
哀哀父母	aafm
暗暗称奇	aaiq
安安静静	aajj
矮矮胖胖	aapp
暗暗祈祷	aaqd
安安全全	aaqq
安安稳稳	aaww
安安心心	aaxx
哀哀欲绝	aayj
安安逸逸	aayy
暗暗咂舌	aazs
暗暗咂舌	aazu
安不安全	abaq
安不安逸	abay
哀兵必败	abbb
按兵不动	abbd
哀兵必胜	abbs
哀兵必胜	abbu
安步当车	abdc
安邦定国	abdg
安步当车	abdi
阿鼻地狱	abdy
熬不过去	abgq
阿布哈兹	abhz
按部就班	abjb
爱别离苦	ablk
鞍不离马	ablm
爱兵如子	abrz
爱不释手	abss
爱不释手	abuu
阿布扎比	abvb
安邦治国	abvg
阿布扎哈	abvh
阿布扎比	abzb
安邦治国	abzg
阿布扎哈	abzh
昂藏七尺	acqc
昂藏七尺	acqi
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acsj
暗藏杀机	acuj
暗藏玄机	acxj
暗潮汹涌	acxy
爱答不理	adbl
暗度陈仓	adcc
暗渡陈仓	adcc
暗度陈仓	adic
暗渡陈仓	adic
澳大利亚	adly
安定团结	adtj
暗淡无光	adwg
黯淡无光	adwg
安度晚年	adwn
爱得要死	adys
安定有序	adyx
奥尔巴尼	aebn
阿尔卑斯	aebs
哀而不伤	aebs
哀而不伤	aebu
阿尔及尔	aeje
安抚安抚	afaf
安分守己	afsj
安份守己	afsj
安分守己	afuj
安份守己	afuj
安分知足	afvz
案发现场	afxc
案发现场	afxi
安分知足	afzz
阿哥阿妹	agam
爱岗敬业	agjy
爱国人士	agrs
爱国人士	agru
奥古斯塔	agst
熬更守夜	agsy
熬更守夜	aguy
阿甘正传	agvi
爱国之心	agvx
爱国主义	agvy
阿甘正传	agzc
爱国之心	agzx
爱国主义	agzy
哀鸿遍野	ahby
爱恨交加	ahjj
爱恨交织	ahjv
爱恨交织	ahjz
暗潮汹涌	aixy
挨家挨户	ajah
安静安静	ajaj
挨肩并足	ajbz
挨肩擦背	ajcb
安家落户	ajlh
安家立业	ajly
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
暗箭伤人	ajsr
暗箭伤人	ajur
安家置业	ajvy
暗礁险滩	ajxt
按迹循踪	ajxz
安家置业	ajzy
爱看不看	akbk
阿里巴巴	albb
爱理不理	albl
按劳分配	alfp
按理来说	alls
按理来说	allu
奥林匹克	alpk
奥林匹亚	alpy
按劳取酬	alqc
按劳取酬	alqi
阿拉斯加	alsj
暗流涌动	alyd
