# codex symbol data (auto-generated from typst/codex)
# format: typst_name<TAB>char
# typst_name is the full dotted path (e.g. arrow.r.double, chess.king.white)
abacus	🧮
abc	🔤
abcd	🔡
ABCD	🔠
accordion	🪗
aesculapius	⚕️
airplane	✈️
airplane.landing	🛬
airplane.small	🛩️
airplane.takeoff	🛫
alembic	⚗️
alien	👽️
alien.monster	👾
ambulance	🚑️
amphora	🏺
anchor	⚓️
anger	💢
ant	🐜
apple.green	🍏
apple.red	🍎
arm.mech	🦾
arm.muscle	💪
arm.selfie	🤳
arrow.r.filled	➡️
arrow.r.hook	↪️
arrow.r.soon	🔜
arrow.l.filled	⬅️
arrow.l.hook	↩️
arrow.l.back	🔙
arrow.l.end	🔚
arrow.t.filled	⬆️
arrow.t.curve	⤴️
arrow.t.top	🔝
arrow.b.filled	⬇️
arrow.b.curve	⤵️
arrow.l.r	↔️
arrow.l.r.on	🔛
arrow.t.b	↕️
arrow.bl	↙️
arrow.br	↘️
arrow.tl	↖️
arrow.tr	↗️
arrows.cycle	🔄
ast	*️
ast.box	✳️
atm	🏧
atom	⚛️
aubergine	🍆
avocado	🥑
axe	🪓
baby	👶
baby.angel	👼
baby.box	🚼️
babybottle	🍼
backpack	🎒
bacon	🥓
badger	🦡
badminton	🏸
bagel	🥯
baggageclaim	🛄
baguette	🥖
balloon	🎈
ballot.check	☑️
ballotbox	🗳️
banana	🍌
banjo	🪕
bank	🏦
barberpole	💈
baseball	⚾️
basecap	🧢
basket	🧺
basketball	⛹️
basketball.ball	🏀
bat	🦇
bathtub	🛀
bathtub.foam	🛁
battery	🔋
battery.low	🪫
beach.palm	🏝️
beach.umbrella	🏖️
beads	📿
beans	🫘
bear	🐻
beaver	🦫
bed	🛏️
bed.person	🛌
bee	🐝
beer	🍺
beer.clink	🍻
beet	🫜
beetle	🪲
beetle.lady	🐞
bell	🔔
bell.ding	🛎️
bell.not	🔕
bento	🍱
bicyclist	🚴
bicyclist.mountain	🚵
bigfoot	🫈
bike	🚲️
bike.not	🚳
bikini	👙
billiards	🎱
bin	🗑️
biohazard	☣️
bird	🐦️
bison	🦬
blood	🩸
blouse	👚
blowfish	🐡
blueberries	🫐
boar	🐗
boat.sail	⛵️
boat.row	🚣
boat.motor	🛥️
boat.speed	🚤
boat.canoe	🛶
bolt	🔩
bomb	💣️
bone	🦴
book.red	📕
book.blue	📘
book.green	📗
book.orange	📙
book.spiral	📒
book.open	📖
bookmark	🔖
books	📚️
boomerang	🪃
bordercontrol	🛂
bouquet	💐
bow	🏹
bowl.spoon	🥣
bowl.steam	🍜
bowling	🎳
boxing	🥊
boy	👦
brain	🧠
bread	🍞
brick	🧱
bride	👰
bridge.fog	🌁
bridge.night	🌉
briefcase	💼
briefs	🩲
brightness.high	🔆
brightness.low	🔅
broccoli	🥦
broom	🧹
brush	🖌️
bubble.speech.r	💬
bubble.speech.l	🗨️
bubble.thought	💭
bubble.anger.r	🗯️
bubbles	🫧
bubbletea	🧋
bucket	🪣
buffalo.water	🐃
bug	🐛
builder	👷
burger	🍔
burrito	🌯
bus	🚌
bus.front	🚍️
bus.small	🚐
bus.stop	🚏
bus.trolley	🚎
butter	🧈
butterfly	🦋
button	🔲
button.alt	🔳
button.radio	🔘
cabinet.file	🗄️
cablecar	🚠
cablecar.small	🚡
cactus	🌵
cake	🎂
cake.fish	🍥
cake.moon	🥮
cake.slice	🍰
calendar	📅
calendar.spiral	🗓️
calendar.tearoff	📆
camel	🐫
camel.dromedar	🐪
camera	📷️
camera.flash	📸
camera.movie	🎥
camera.movie.box	🎦
camera.video	📹️
camping	🏕️
can	🥫
candle	🕯️
candy	🍬
cane	🦯
car	🚗
car.front	🚘️
car.pickup	🛻
car.police	🚓
car.police.front	🚔️
car.racing	🏎️
car.rickshaw	🛺
car.suv	🚙
card.credit	💳️
card.id	🪪
cardindex	📇
carrot	🥕
cart	🛒
cassette	📼
castle.eu	🏰
castle.jp	🏯
cat	🐈️
cat.face	🐱
cat.face.angry	😾
cat.face.cry	😿
cat.face.heart	😻
cat.face.joy	😹
cat.face.kiss	😽
cat.face.laugh	😸
cat.face.shock	🙀
cat.face.smile	😺
cat.face.smirk	😼
chain	🔗
chains	⛓️
chair	🪑
champagne	🍾
chart.bar	📊
chart.up	📈
chart.down	📉
chart.yen.up	💹
checkmark.heavy	✔️
checkmark.box	✅️
cheese	🧀
cherries	🍒
chess	♟️
chestnut	🌰
chicken	🐔
chicken.baby	🐥
chicken.baby.egg	🐣
chicken.baby.head	🐤
chicken.leg	🍗
chicken.male	🐓
child	🧒
chipmunk	🐿️
chocolate	🍫
chopsticks	🥢
church	⛪️
church.love	💒
cigarette	🚬
cigarette.not	🚭️
circle.black	⚫️
circle.blue	🔵
circle.brown	🟤
circle.green	🟢
circle.orange	🟠
circle.purple	🟣
circle.white	⚪️
circle.red	🔴
circle.yellow	🟡
circle.stroked	⭕️
circus	🎪
city	🏙️
city.dusk	🌆
city.night	🌃
city.sunset	🌇
clamp	🗜️
clapperboard	🎬️
climbing	🧗
clip	📎
clipboard	📋️
clips	🖇️
clock.one	🕐️
clock.one.thirty	🕜️
clock.two	🕑️
clock.two.thirty	🕝️
clock.three	🕒️
clock.three.thirty	🕞️
clock.four	🕓️
clock.four.thirty	🕟️
clock.five	🕔️
clock.five.thirty	🕠️
clock.six	🕕️
clock.six.thirty	🕡️
clock.seven	🕖️
clock.seven.thirty	🕢️
clock.eight	🕗️
clock.eight.thirty	🕣️
clock.nine	🕘️
clock.nine.thirty	🕤️
clock.ten	🕙️
clock.ten.thirty	🕥️
clock.eleven	🕚️
clock.eleven.thirty	🕦️
clock.twelve	🕛️
clock.twelve.thirty	🕧️
clock.alarm	⏰️
clock.old	🕰️
clock.timer	⏲️
cloud	☁️
cloud.dust	💨
cloud.rain	🌧️
cloud.snow	🌨️
cloud.storm	⛈️
cloud.sun	⛅️
cloud.sun.hidden	🌥️
cloud.sun.rain	🌦️
cloud.thunder	🌩️
coat	🧥
coat.lab	🥼
cockroach	🪳
cocktail.martini	🍸️
cocktail.tropical	🍹
coconut	🥥
coffee	☕️
coffin	⚰️
coin	🪙
comet	☄️
compass	🧭
computer	🖥️
computermouse	🖱️
confetti	🎊
construction	🚧
controller	🎮️
cookie	🍪
cookie.fortune	🥠
cooking	🍳
cool	🆒
copyright	©️
coral	🪸
corn	🌽
couch	🛋️
couple	💑
cow	🐄
cow.face	🐮
crab	🦀
crane	🏗️
crayon	🖍️
cricket	🦗
cricketbat	🏏
crocodile	🐊
croissant	🥐
crossmark	❌️
crossmark.box	❎️
crown	👑
crutch	🩼
crystal	🔮
cucumber	🥒
cup.straw	🥤
cupcake	🧁
curling	🥌
curry	🍛
custard	🍮
customs	🛃
cutlery	🍴
cyclone	🌀
dancing.ballet	🧑‍🩰
dancing.man	🕺
dancing.woman	💃
dancing.bunny	👯
dancing.bunny.men	👯‍♂
dancing.bunny.women	👯‍♀
darts	🎯
dash.wave.double	〰️
deer	🦌
desert	🏜️
detective	🕵️
diamond.blue	🔷
diamond.blue.small	🔹
diamond.orange	🔶
